Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brunei,19803145736,20426141044,21398135470,21463308477,22138414819,23129929596,23795682516,23445607162,23314661407,24026261405,24710870925,25388947309,26372032040,27137864018,27274725255,27380416700,28584530805,28628717190,28073401809,27578036605,28294780376,29265239981,29542778249
Bhutan,1249305960,1244210339,1301455106,1327306776,1393028419,1491572883,1574581493,1659196960,1757322379,1897626506,2029189412,2195659523,2431206377,2617542155,2771883125,2969312154,3172691209,3741422281,3919826548,4180778174,4671219173,5039821055,5295426154
Botswana,11175483588,12009030401,12359342260,12596160500,13053138625,13970827822,14785299154,15972048439,16087365535,17642569891,17993250521,18038336904,19133179331,20018260077,20559918510,21496761143,23207802524,25222783001,26798022184,24747391817,26866574611,28491612612,29868152674
Central African Republic,2749151239,2733964187,2558331747,2566905889,2692684254,2886557583,2771095240,2917963361,3055107460,3165091418,3086298047,3224094546,3340693539,3160380633,3349845190,3380264669,3503283019,3664698956,3739976511,3803900973,3919792783,4049174940,4215707634
Canada,866000000000,848000000000,855000000000,877000000000,917000000000,942000000000,958000000000,999000000000,1040000000000,1090000000000,1150000000000,1170000000000,1200000000000,1220000000000,1260000000000,1300000000000,1340000000000,1360000000000,1380000000000,1340000000000,1390000000000,1430000000000,1450000000000
Central Europe & the Baltics,1350000000000,1220000000000,1190000000000,1210000000000,1260000000000,1330000000000,1390000000000,1430000000000,1460000000000,1490000000000,1540000000000,1590000000000,1640000000000,1710000000000,1810000000000,1890000000000,2020000000000,2150000000000,2230000000000,2150000000000,2190000000000,2260000000000,2270000000000
Switzerland,313000000000,310000000000,310000000000,310000000000,313000000000,315000000000,317000000000,324000000000,334000000000,339000000000,353000000000,358000000000,358000000000,358000000000,369000000000,380000000000,395000000000,411000000000,421000000000,412000000000,424000000000,432000000000,436000000000
Chile,121000000000,131000000000,147000000000,158000000000,167000000000,184000000000,198000000000,211000000000,218000000000,216000000000,226000000000,233000000000,238000000000,248000000000,263000000000,278000000000,290000000000,305000000000,315000000000,311000000000,329000000000,349000000000,368000000000
China,1720000000000,1880000000000,2150000000000,2450000000000,2770000000000,3070000000000,3380000000000,3690000000000,3980000000000,4280000000000,4640000000000,5030000000000,5490000000000,6040000000000,6640000000000,7400000000000,8340000000000,9520000000000,10400000000000,11400000000000,12600000000000,13800000000000,14900000000000
Cote d'Ivoire,39180247703,39196282285,39100423617,39025161128,39341735843,42145127510,45402662407,47102335203,49424800450,50224260161,49185421535,49245118823,48423886470,47765546329,48353909355,49186199747,49931785000,50813099372,52105195938,53799372269,54884849166,52476908219,58095352507
