"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Azerbaijan","AZE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60946791249.6116","60520163735.2054","46842606492.2018","36021964603.9666","28925637570.1392","25512412076.7171","25844073484.6787","27343029882.1875","30077332946.4722","32303055759.463","35888694707.6342","39441675483.6899","43622492770.0479","48508212063.743","53456049887.4524","67568447489.7946","90879561542.8867","113643982480.432","125886190467.364","137732903988.907","144418926509.107","144514131462.76","147693442627.257","156254756508.811","159379851638.987","",
"Burundi","BDI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5889202771.34675","6183476602.12475","6245929614.75962","5856183606.84845","5631891774.89984","5185845946.29076","4770978270.51633","4695119716.14871","4918137902.2932","4868464709.66697","4826748585.33385","4925977225.89982","5145011759.82077","5082050812.40968","5327699755.95462","5375649053.9108","5665109338.39415","5936231951.16376","6235899991.3093","6452187532.08544","6696461063.94965","6977151645.62124","7257588873.80706","7591006441.60571","7944817041.22709","",
"Belgium","BEL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306978848539.296","312605971456.333","317390845815.889","314338013777.694","324481662685.949","332219712182.146","337372994737.072","350002156610.52","357024207532.338","370291334745.927","383438255858.584","386981985437.456","393017137555.198","396514127778.624","410133546168.464","417900874916.06","428892279029.994","441760510020.379","445972558658.735","434294032296.345","445155963023.353","452360001952.727","452779850300.787","454097953847.766","458941118093.138","",
"Benin","BEN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6810869617.68972","7098683306.41634","7308641830.95859","7735186745.7047","7891468493.16884","8368523439.57714","8730402162.60279","9231063520.39106","9596707066.99393","10109310316.4361","10600791377.0332","11263172343.5143","11761130071.4577","12217756927.9819","12598933485.4536","12959922766.2954","13446199088.727","14068273568.8242","14773746618.391","15167204375.4854","15563293957.042","16071236078.2408","16938422238.5258","17893774518.2935","18854508879.0863","",
"Burkina Faso","BFA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7235850446.17287","7892140957.24998","7910506818.65255","8184319909.96664","8291944311.95797","8765942849.65581","9731489002.26689","10346211079.7932","11102283178.1579","11924316094.0169","12141367490.9855","12944324634.6208","13507791645.5327","14561728970.2515","15213872266.9067","16531676827.4531","17565428799.3053","18558754696.9543","19912522715.0002","20502334499.5241","22234028341.5079","23684080409.0061","25212337086.177","26893838043.0632","27982974180.0688","",
"Bangladesh","BGD","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136763926786.141","141530461203.864","149233519165.676","156264748534.802","162343644834.979","170657714035.36","178376424579.822","186385341419.141","196034560632.586","205189681149.996","216050975705.134","227020505484.482","235722482829.044","246894708777.71","259830838298.284","276813238827.961","295281853462.91","316124725281.398","335135801636.774","352043821059.316","371659006686.465","395684471605.039","421488777535.966","446835410086.698","474164865418.483","",
"Bulgaria","BGR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81370074831.3188","74498082970.3936","69080293423.0623","68057756707.3199","69295054249.7688","71277024091.7356","72417456469.8542","71628920350.1522","74109298557.9047","69924923170.4087","74147227527.109","76963985916.9164","80412144594.3761","84719961758.8911","90277349602.3358","95653628263.7207","101842800691.079","108877472355.211","115143044716.501","109372147382.342","110088890530.06","112270855801.482","112823441672.32","114025987349.831","115970670349.494","",
"Bahrain","BHR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17555617943.5839","19527113624.472","20833477206.9944","23514747113.0563","23455959896.1872","24377777136.981","25379705268.0415","26164699497.8553","27417989333.4196","28596962589.7131","30112600118.232","30862715094.5753","31978139384.1316","33904486894.0188","36271341149.2483","38726526363.2246","41231577927.8748","44650683364.4732","47439175845.8899","48644022973.7791","50752452953.3744","51818347905.0906","53677955325.1618","56543036860.2379","59091315832.7132","",
"Bahamas, The","BHS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6224050195.34163","5963773820.39252","5735624719.19738","5753279370.04309","5934445315.65027","6194299922.91826","6455918080.58969","6589054572.66598","6899825606.88833","7392758113.34085","7699501863.20183","7901662072.30342","8115372756.69145","8012734015.64502","8083477180.86788","8357934889.03373","8568292730.11128","8692234987.92506","8490232901.36651","8135743673.15397","8260934776.35865","8311566260.03648","8495859697.43871","8497731352.02974","8584644967.5209","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5758443044.86291","6956199229.85998","13144271623.6769","17664530718.1288","20420196867.7979","22380535725.2627","23611465287.6934","24650369643.8678","25956839300.8685","26995112889.867","28641814714.3727","30073905428.8867","31938487693.8364","34122441431.5686","35971877791.9917","34925096055.6936","35169571772.0477","35506413035.8662","35077132291.0932","35947045186.6142","36394953636.7975","",
