Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Barbados,3369411705,3271292642,3108421675,3139145899,3263921180,3312557947,3373310774,3589024793,3736618540,3833496216,3921666629,3821656901,3847362212,3923273211,3979503581,4138555197,4374722908,4447822192,4463084811,4278327805,4289172098,4321705635,4322107031
Brunei,19803145736,20426141044,21398135470,21463308477,22138414819,23129929596,23795682516,23445607162,23314661407,24026261405,24710870925,25388947309,26372032040,27137864018,27274725255,27380416700,28584530805,28628717190,28073401809,27578036605,28294780376,29265239981,29542778249
Bhutan,1249305960,1244210339,1301455106,1327306776,1393028419,1491572883,1574581493,1659196960,1757322379,1897626506,2029189412,2195659523,2431206377,2617542155,2771883125,2969312154,3172691209,3741422281,3919826548,4180778174,4671219173,5039821055,5295426154
Botswana,11175483588,12009030401,12359342260,12596160500,13053138625,13970827822,14785299154,15972048439,16087365535,17642569891,17993250521,18038336904,19133179331,20018260077,20559918510,21496761143,23207802524,25222783001,26798022184,24747391817,26866574611,28491612612,29868152674
Central African Republic,2749151239,2733964187,2558331747,2566905889,2692684254,2886557583,2771095240,2917963361,3055107460,3165091418,3086298047,3224094546,3340693539,3160380633,3349845190,3380264669,3503283019,3664698956,3739976511,3803900973,3919792783,4049174940,4215707634
Canada,8.66E+11,8.48E+11,8.55E+11,8.77E+11,9.17E+11,9.42E+11,9.58E+11,9.99E+11,1.04E+12,1.09E+12,1.15E+12,1.17E+12,1.20E+12,1.22E+12,1.26E+12,1.30E+12,1.34E+12,1.36E+12,1.38E+12,1.34E+12,1.39E+12,1.43E+12,1.45E+12
Central Europe & the Baltics,1.35E+12,1.22E+12,1.19E+12,1.21E+12,1.26E+12,1.33E+12,1.39E+12,1.43E+12,1.46E+12,1.49E+12,1.54E+12,1.59E+12,1.64E+12,1.71E+12,1.81E+12,1.89E+12,2.02E+12,2.15E+12,2.23E+12,2.15E+12,2.19E+12,2.26E+12,2.27E+12
Switzerland,3.13E+11,3.10E+11,3.10E+11,3.10E+11,3.13E+11,3.15E+11,3.17E+11,3.24E+11,3.34E+11,3.39E+11,3.53E+11,3.58E+11,3.58E+11,3.58E+11,3.69E+11,3.80E+11,3.95E+11,4.11E+11,4.21E+11,4.12E+11,4.24E+11,4.32E+11,4.36E+11
Chile,1.21E+11,1.31E+11,1.47E+11,1.58E+11,1.67E+11,1.84E+11,1.98E+11,2.11E+11,2.18E+11,2.16E+11,2.26E+11,2.33E+11,2.38E+11,2.48E+11,2.63E+11,2.78E+11,2.90E+11,3.05E+11,3.15E+11,3.11E+11,3.29E+11,3.49E+11,3.68E+11
China,1.72E+12,1.88E+12,2.15E+12,2.45E+12,2.77E+12,3.07E+12,3.38E+12,3.69E+12,3.98E+12,4.28E+12,4.64E+12,5.03E+12,5.49E+12,6.04E+12,6.64E+12,7.40E+12,8.34E+12,9.52E+12,1.04E+13,1.14E+13,1.26E+13,1.38E+13,1.49E+13
Cote d'Ivoire,39180247703,39196282285,39100423617,39025161128,39341735843,42145127510,45402662407,47102335203,49424800450,50224260161,49185421535,49245118823,48423886470,47765546329,48353909355,49186199747,49931785000,50813099372,52105195938,53799372269,54884849166,52476908219,58095352507
Cameroon,33414647780,32142017714,31145614133,28675123285,29266806488,30475048824,31971964798,33671005671,35319322455,36754091816,38288053621,40016480155,41620758680,43298488681,44901335539,45932653147,47413523255,48957148497,50369095294,51342150959,53020345598,55215701705,57749405978
"Congo, Rep.",12544967571,12845465641,13180982531,13051850658,12334902615,12826488496,13376806620,13293226707,13790068070,13433981021,14451736789,15001278806,15688617909,15816207802,16366079084,17635392732,18735135296,18438703723,19466157004,20920060529,22750912219,23529134761,24423240907
Colombia,2.58E+11,2.64E+11,2.77E+11,2.84E+11,3.00E+11,3.16E+11,3.23E+11,3.34E+11,3.36E+11,3.21E+11,3.36E+11,3.41E+11,3.50E+11,3.64E+11,3.83E+11,4.01E+11,4.28E+11,4.57E+11,4.74E+11,4.81E+11,5.01E+11,5.34E+11,5.55E+11
Comoros,658530458.3,622998796.1,676146346.4,696470882.8,659720328.9,683537086.9,674708054.1,701901087.2,710904109.1,724582783.3,734856299.6,821923887.6,841031803.6,858727970.3,875212132.8,900045469.8,923875039.8,931263609.5,934988663.7,953220942.4,974191803,999520790.7,1029506414
Cabo Verde,566468254.2,574422300.3,637250585.2,692744350.4,825631017.9,942966695,1049960644,1166699742,1312738881,1460062952,1668631030,1705869109,1795442441,1870424773,2061153345,2203629704,2379562000,2740557926,2922819294,2885687690,2928018210,3044224922,3077160949
Costa Rica,22573586959,23154161551,25273234162,27146911010,28430851706,29545594005,29807539949,31470260088,34113084646,36917930926,37582758108,37987297532,39089759217,41593267062,43364912629,45917535008,49948929719,53912547375,55385233529,54822675266,57538766320,60138221906,63245914305
Caribbean small states,52183855442,53468647456,53626746440,55194470583,56769891372,58387494309,59858108684,61133969599,62774717043,64780877621,66826464864,68340345343,71753514060,77557012997,82085023659,85782071653,94440224878,97722397144,99320871361,95868189515,96150587331,96691937221,98199853657
Cuba,1.45E+11,1.29E+11,1.14E+11,97406949806,98105289487,1.01E+11,1.08E+11,1.11E+11,1.12E+11,1.18E+11,1.26E+11,1.30E+11,1.31E+11,1.36E+11,1.44E+11,1.60E+11,1.80E+11,1.93E+11,2.01E+11,2.04E+11,2.08E+11,2.14E+11,2.21E+11
Cyprus,13802989449,13905062697,15212138504,15318623456,16222422211,17211990056,17491688061,17911918988,18823930372,19706035701,20824034035,21568713296,22263356623,22884102802,23886288971,24809042460,25929624492,27198422994,28183200440,27607643651,27991567707,28064704944,27395493314
Czech Republic,2.05E+11,1.81E+11,1.80E+11,1.80E+11,1.86E+11,1.97E+11,2.06E+11,2.04E+11,2.04E+11,2.07E+11,2.15E+11,2.22E+11,2.26E+11,2.34E+11,2.45E+11,2.61E+11,2.79E+11,2.94E+11,3.02E+11,2.88E+11,2.94E+11,3.00E+11,2.98E+11
Germany,2.50E+12,2.63E+12,2.68E+12,2.65E+12,2.72E+12,2.76E+12,2.79E+12,2.84E+12,2.89E+12,2.95E+12,3.04E+12,3.09E+12,3.09E+12,3.07E+12,3.10E+12,3.13E+12,3.24E+12,3.35E+12,3.38E+12,3.19E+12,3.32E+12,3.44E+12,3.45E+12
Djibouti,1799101128,1722142478,1721833061,1607832538,1592761641,1537201953,1473938426,1462944729,1464398582,1496307918,1502535761,1533304153,1573454679,1623804588,1685939083,1739376627,1822864352,1915831553,2026949067,2128286449,2222999303,2342710799,2413074035
Dominica,472419312.9,475291295.8,485022205.1,493175156.9,500234097.5,510112315.8,523588376.4,531394125.6,557847388.3,561659130.5,563767098.7,566434298,556503797,599283429.5,618761005.4,618214995.9,648401275,687643437.9,738960112.3,730507954.2,738356386.8,737752661.2,727489326.3
Denmark,1.71E+11,1.73E+11,1.77E+11,1.76E+11,1.86E+11,1.92E+11,1.97E+11,2.04E+11,2.08E+11,2.15E+11,2.23E+11,2.24E+11,2.26E+11,2.26E+11,2.32E+11,2.38E+11,2.47E+11,2.49E+11,2.47E+11,2.35E+11,2.39E+11,2.41E+11,2.40E+11
Dominican Republic,38240403936,38601446461,42659686778,45740834428,46794363123,49365071966,52885476594,57118575275,61122928816,65227549917,68917214686,70164085257,74225327973,74037271566,75008609636,81956469681,90702171462,98388840161,1.01E+11,1.02E+11,1.11E+11,1.14E+11,1.17E+11
Algeria,2.65E+11,2.62E+11,2.67E+11,2.61E+11,2.59E+11,2.69E+11,2.80E+11,2.83E+11,2.97E+11,3.07E+11,3.14E+11,3.28E+11,3.46E+11,3.71E+11,3.87E+11,4.10E+11,4.17E+11,4.31E+11,4.40E+11,4.47E+11,4.63E+11,4.76E+11,4.92E+11
East Asia & Pacific (developing only),3.50E+12,3.78E+12,4.18E+12,4.63E+12,5.12E+12,5.62E+12,6.11E+12,6.53E+12,6.57E+12,6.95E+12,7.46E+12,7.93E+12,8.53E+12,9.25E+12,1.01E+13,1.10E+13,1.21E+13,1.36E+13,1.47E+13,1.57E+13,1.73E+13,1.87E+13,2.01E+13
East Asia & Pacific (all income levels),8.85E+12,9.35E+12,9.86E+12,1.04E+13,1.11E+13,1.18E+13,1.25E+13,1.31E+13,1.31E+13,1.36E+13,1.44E+13,1.49E+13,1.57E+13,1.66E+13,1.77E+13,1.88E+13,2.02E+13,2.19E+13,2.31E+13,2.39E+13,2.59E+13,2.74E+13,2.90E+13
Europe & Central Asia (developing only),2.15E+12,2.01E+12,1.89E+12,1.83E+12,1.66E+12,1.67E+12,1.72E+12,1.77E+12,1.79E+12,1.77E+12,1.87E+12,1.91E+12,2.02E+12,2.15E+12,2.35E+12,2.52E+12,2.73E+12,2.93E+12,3.04E+12,2.91E+12,3.09E+12,3.28E+12,3.36E+12
Europe & Central Asia (all income levels),1.71E+13,1.70E+13,1.66E+13,1.63E+13,1.62E+13,1.65E+13,1.68E+13,1.72E+13,1.76E+13,1.81E+13,1.89E+13,1.94E+13,1.98E+13,2.03E+13,2.11E+13,2.17E+13,2.27E+13,2.37E+13,2.41E+13,2.30E+13,2.37E+13,2.43E+13,2.44E+13
Ecuador,76349832716,79626265458,81309812089,82914232001,86444927674,88392141832,89922870551,93814610781,96879092627,92287618677,93295216341,97041606944,1.01E+11,1.04E+11,1.12E+11,1.18E+11,1.23E+11,1.26E+11,1.34E+11,1.35E+11,1.40E+11,1.51E+11,1.59E+11
Egypt,3.39E+11,3.43E+11,3.58E+11,3.68E+11,3.83E+11,4.01E+11,4.21E+11,4.44E+11,4.62E+11,4.90E+11,5.16E+11,5.35E+11,5.47E+11,5.65E+11,5.88E+11,6.14E+11,6.56E+11,7.03E+11,7.53E+11,7.88E+11,8.29E+11,8.44E+11,8.62E+11
Euro area,8.78E+12,9.02E+12,9.15E+12,9.09E+12,9.31E+12,9.54E+12,9.70E+12,9.97E+12,1.03E+13,1.06E+13,1.10E+13,1.12E+13,1.13E+13,1.14E+13,1.17E+13,1.19E+13,1.23E+13,1.26E+13,1.27E+13,1.21E+13,1.24E+13,1.26E+13,1.24E+13
Eritrea,,,3464715073,3930884233,4765073332,4901277178,5355078585,5778594852,5881025219,5881818023,5697012081,6195810345,6382021004,6212545456,6302735113,6464995852,6402336054,6493685977,5858406746,6085507996,6219035590,6758835465,7233110307
Spain,9.37E+11,9.61E+11,9.70E+11,9.60E+11,9.83E+11,1.01E+12,1.04E+12,1.08E+12,1.12E+12,1.17E+12,1.23E+12,1.28E+12,1.32E+12,1.36E+12,1.41E+12,1.46E+12,1.52E+12,1.58E+12,1.59E+12,1.54E+12,1.54E+12,1.53E+12,1.50E+12
Estonia,,,,,,15032605565,15918041064,17786078122,18997397648,18945818881,20782856579,22062687295,23413373691,25164707277,26794908910,29332688441,32387037138,34945656575,33083871489,28208115023,28906512367,31295286572,32750693494
Ethiopia,31350152722,29112541933,26587762521,30082147999,31041757865,32943845110,37037504560,38198225463,36877277663,38780936515,41136187145,44551028054,45225853917,44248360529,50254014896,56193419301,62281822915,69416932552,76905993375,83675684350,94177433186,1.05E+11,1.14E+11
European Union,1.19E+13,1.20E+13,1.21E+13,1.21E+13,1.24E+13,1.28E+13,1.31E+13,1.34E+13,1.38E+13,1.42E+13,1.48E+13,1.51E+13,1.53E+13,1.55E+13,1.60E+13,1.63E+13,1.69E+13,1.74E+13,1.76E+13,1.68E+13,1.71E+13,1.75E+13,1.74E+13
Fragile & conflict affected situations,7.33E+11,5.56E+11,5.93E+11,6.36E+11,6.58E+11,6.84E+11,7.38E+11,8.12E+11,9.30E+11,1.01E+12,1.02E+12,1.05E+12,1.03E+12,9.64E+11,1.11E+12,1.18E+12,1.25E+12,1.31E+12,1.38E+12,1.44E+12,1.51E+12,1.41E+12,1.57E+12
Finland,1.43E+11,1.34E+11,1.30E+11,1.29E+11,1.34E+11,1.39E+11,1.45E+11,1.54E+11,1.62E+11,1.69E+11,1.79E+11,1.83E+11,1.86E+11,1.90E+11,1.98E+11,2.03E+11,2.11E+11,2.22E+11,2.24E+11,2.05E+11,2.11E+11,2.17E+11,2.14E+11
