Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Kosovo,KSV,"Population, total",SP.POP.TOTL,1862000,1898000,1932000,1965000,1997000,2029000,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1805200
Kuwait,KWT,"Population, total",SP.POP.TOTL,2058832,2007110,2007110,1822070.5,1637031,1637031,1637906,1686256,1766247,1853152,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581
Latin America & Caribbean (developing only),LAC,"Population, total",SP.POP.TOTL,371398873,378303460,385177748,392032035,398881480,405733941,412605665,419468647,426291808,433023588,439633672,446109420,452455713,458709251,464915732,471107730,477292640,483458582,489595358,495685919,501716478,507683672,513587153
Laos,LAO,"Population, total",SP.POP.TOTL,4247839,4371549,4496971,4621685,4742685,4857774,4966303,5068658,5165072,5256207,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050
Lebanon,LBN,"Population, total",SP.POP.TOTL,2703019,2752473,2821868,2900862,2974647,3033406,3070974,3092684,3113960,3156661,3235380,3359875,3522842,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4388637,4440728
Liberia,LBR,"Population, total",SP.POP.TOTL,2102877,2066060,2028672,2006349,2019148,2079921,2197801,2365290,2558085,2741755,2891968,2998770,3070673,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155
Libya,LBY,"Population, total",SP.POP.TOTL,4398419,4499210,4596811,4691934,4785488,4878202,4970391,5062160,5153764,5245414,5337264,5428303,5518341,5609166,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403
Saint Lucia,LCA,"Population, total",SP.POP.TOTL,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,160218,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890
Latin America & Caribbean (all income levels),LCN,"Population, total",SP.POP.TOTL,445998222,454117634,462201058,470263697,478310786,486343677,494384205,502390020,510356845,518188225,525886558,533449671,540884684,548225528,555515431,562783235,570029991,577248307,584435842,591577623,598662941,605674766,612617659
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,510057629,524324699,539125756,554321297,569720374,585189354,600664665,616192978,631885766,647910647,664386087,681362484,698794943,716594050,734626511,752794655,771082091,789544690,808296705,827498335,847264134,867666290,888606627
Low income,LIC,"Population, total",SP.POP.TOTL,323227228,332433715,342050447,351987725,362123035,372371977,382697537,393134571,403759218,414684350,425992699,437714055,449827124,462302980,475092681,488164370,501506199,515142538,529119915,543502416,558333178,573629146,589368162
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,28745,29111,29503,29921,30365,30833,31327,31842,32357,32843,33282,33663,33995,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,17015000,17267000,17426000,17646000,17891000,18136000,18336000,18568000,18784000,19056000,19102000,18797000,18921000,19173000,19435000,19644000,19858000,20039000,20246000,20450000,20653000,20869000,20328000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,1899363670,1940144327,1980929189,2021636325,2062007453,2102273232,2142621760,2183096828,2223434661,2263637343,2303711331,2343442598,2383558218,2423930501,2464449907,2505015558,2545669797,2586398869,2627317521,2668428221,2709973675,2752176358,2793702323
Low & middle income,LMY,"Population, total",SP.POP.TOTL,4079586256,4157438910,4233649423,4309167848,4384488804,4459373325,4534494597,4609884996,4684785819,4758923646,4832370097,4904400484,4976091544,5048011830,5120030250,5192248941,5264356756,5335987395,5408263981,5481665500,5555985552,5631350938,5706792497
Lesotho,LSO,"Population, total",SP.POP.TOTL,1597534,1627900,1660360,1693459,1725118,1753824,1779201,1801695,1821632,1839631,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331
Lithuania,LTU,"Population, total",SP.POP.TOTL,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773
Luxembourg,LUX,"Population, total",SP.POP.TOTL,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946
Latvia,LVA,"Population, total",SP.POP.TOTL,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,359735,369484,377799,385041,391783,398459,405231,412031,418810,425448,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,30036,31821,32892,33238,33098,32712,32102,31304,30358,29305,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959
Morocco,MAR,"Population, total",SP.POP.TOTL,24950128,25410178,25866445,26314339,26747660,27161889,27556892,27934014,28292299,28630973,28950553,29250983,29535591,29812685,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190
Monaco,MCO,"Population, total",SP.POP.TOTL,29438,29626,29864,30138,30423,30700,30971,31242,31517,31795,32081,32364,32648,32960,33339,33808,34384,35046,35731,36351,36845,37189,37404
Moldova,MDA,"Population, total",SP.POP.TOTL,3696000,3704000,3706000,3701000,3691000,3675099,3667748,3654208,3652732,3647001,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519
Madagascar,MDG,"Population, total",SP.POP.TOTL,11545782,11898267,12263899,12643864,13039754,13452526,13882646,14329239,14790245,15262817,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720
Maldives,MDV,"Population, total",SP.POP.TOTL,223179,229686,236053,242252,248263,254070,259668,265067,270292,275385,280384,285298,290147,294996,299917,304968,310168,315515,321026,326713,332575,338618,344817
Middle East & North Africa (all income levels),MEA,"Population, total",SP.POP.TOTL,254342990,261083151,265325554,271261333,277250339,284848005,290827337,296885404,302949605,309057956,315152002,321230141,327306993,333494898,339941989,346735318,353923119,361451154,369228612,377133473,384945112,393003905,401144535
Mexico,MEX,"Population, total",SP.POP.TOTL,85609404,87347208,89110043,90887097,92663664,94426946,96181710,97925825,99632299,101266570,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,47300,48481,49382,50052,50577,51020,51397,51697,51922,52076,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663
Middle income,MIC,"Population, total",SP.POP.TOTL,3756359028,3825005195,3891598976,3957180123,4022365769,4087001348,4151797060,4216750425,4281026601,4344239296,4406377398,4466686429,4526264420,4585708850,4644937569,4704084571,4762850557,4820844857,4879144066,4938163084,4997652374,5057721792,5117424335
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,1996227,1988458,1977033,1964924,1956165,1953544,1958303,1969345,1984242,1999362,2012051,2021585,2028706,2033974,2038444,2042894,2047330,2051427,2055266,2058920,2062443,2065888,2069270
Mali,MLI,"Population, total",SP.POP.TOTL,8482075,8672581,8891141,9131449,9383608,9640643,9901045,10168000,10444822,10736542,11046926,11376094,11723017,12088867,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333
Malta,MLT,"Population, total",SP.POP.TOTL,354170,357727,361260,364704,367941,370433,372687,375236,377516,379360,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455
Myanmar,MMR,"Population, total",SP.POP.TOTL,42007309,42588029,43126260,43642311,44164109,44710931,45290888,45895991,46509586,47106923,47669791,48195684,48689952,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841
Middle East & North Africa (developing only),MNA,"Population, total",SP.POP.TOTL,226312496,232078456,237431427,242523161,247687836,252835066,258014220,263229416,268407285,273553273,278610057,283601129,288553691,293512103,298545580,303699745,309000732,314432844,320005139,325689241,331456852,337638042,344052017
Montenegro,MNE,"Population, total",SP.POP.TOTL,608320,609861,610328,609984,609231,608388,607502,606549,605693,605119,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601
Mongolia,MNG,"Population, total",SP.POP.TOTL,2184145,2217920,2243506,2263204,2280495,2298038,2316571,2335694,2355588,2376165,2397438,2419729,2443503,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,43972,46719,49429,52120,54817,57518,60248,62939,65374,67271,68434,68817,68499,67562,66143,64372,62235,59791,57343,55276,53860,53234,53314
Mozambique,MOZ,"Population, total",SP.POP.TOTL,13371971,13719853,14203987,14775877,15363065,15913101,16410777,16872896,17317376,17774066,18264536,18792357,19348715,19928496,20523159,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928
Mauritania,MRT,"Population, total",SP.POP.TOTL,2023665,2080782,2140250,2202201,2266745,2333966,2403779,2476188,2551429,2629806,2711421,2796502,2884672,2974686,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067
Mauritius,MUS,"Population, total",SP.POP.TOTL,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882
Malawi,MWI,"Population, total",SP.POP.TOTL,9408998,9604199,9682918,9697635,9725612,9822812,10006767,10260421,10563554,10882543,11193230,11491824,11788731,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436
Malaysia,MYS,"Population, total",SP.POP.TOTL,18211097,18709835,19204700,19700762,20205992,20725374,21260881,21808125,22358128,22898579,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940
North America,NAC,"Population, total",SP.POP.TOTL,277473326,281211703,285092192,288811320,292297226,295691746,299126029,302704697,306162843,309600485,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343417455,346128976,348931188
Namibia,NAM,"Population, total",SP.POP.TOTL,1415447,1466152,1513689,1559480,1605828,1654214,1705349,1758097,1809920,1857320,1897953,1931005,1957749,1980531,2002745,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645
New Caledonia,NCL,"Population, total",SP.POP.TOTL,170899,175362,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,224868,228297,231779,235314,238902,242546,246245,250000,254000,258000
Niger,NER,"Population, total",SP.POP.TOTL,7911884,8168834,8442330,8732500,9039088,9361912,9701730,10058960,10432657,10821434,11224523,11642308,12075991,12526725,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782
Nigeria,NGA,"Population, total",SP.POP.TOTL,95617345,98085436,100592458,103145093,105753088,108424822,111164651,113975055,116860691,119826231,122876723,126014935,129246283,132581484,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403
Nicaragua,NIC,"Population, total",SP.POP.TOTL,4144564,4236805,4331273,4426577,4520727,4612229,4700777,4786641,4869627,4949661,5026792,5100750,5171736,5240876,5309703,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034
Netherlands,NLD,"Population, total",SP.POP.TOTL,14951510,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962
High income: nonOECD,NOC,"Population, total",SP.POP.TOTL,276140078,278295749,278453585,280529160,282394827,286202901,288040686,289904172,291694145,293296742,294642788,296194862,297623374,299016078,300817224,302879030,305315050,308252724,311513631,314698255,317681236,320397042,323348718
Norway,NOR,"Population, total",SP.POP.TOTL,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573
Nepal,NPL,"Population, total",SP.POP.TOTL,18741688,19237322,19765570,20312687,20859421,21390905,21902534,22395247,22866496,23315053,23740145,24140941,24516969,24868900,25198130,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515
New Zealand,NZL,"Population, total",SP.POP.TOTL,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100
High income: OECD,OEC,"Population, total",SP.POP.TOTL,926994836,934011280,941182234,947896875,954134098,960215962,966102131,971960681,977548897,983261748,988955985,995085185,1001217381,1007301592,1013414991,1019459321,1025748111,1032248627,1039134115,1045171937,1050581724,1055684439,1059127950
OECD members,OED,"Population, total",SP.POP.TOTL,1066598845,1076267996,1086103411,1095491426,1104406531,1113165228,1121735329,1130280610,1138526070,1146823935,1155004732,1163507442,1171921444,1180250131,1188646374,1197067844,1205835689,1214903493,1224451293,1233248856,1241509682,1249249082,1255298168
Oman,OMN,"Population, total",SP.POP.TOTL,1812159,1892345,1979914,2066264,2139539,2191864,2219768,2227596,2224922,2225481,2239403,2272547,2323203,2385075,2448194,2506891,2553376,2593750,2652281,2762073,2943747,3210003,3545192
Other small states,OSS,"Population, total",SP.POP.TOTL,13252515,13583303,13903081,14210602,14514531,14810216,15105542,15400465,15691694,15984246,16272103,16559762,16849923,17139148,17429452,17713639,18009472,18315353,18634683,18965567,19312636,19704858,20090794
Pakistan,PAK,"Population, total",SP.POP.TOTL,107607639,110634399,113616165,116579605,119564925,122599749,125697651,128845692,132013680,135158132,138250487,141282077,144271586,147251530,150267989,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252
Panama,PAN,"Population, total",SP.POP.TOTL,2471010,2522901,2575330,2628511,2682720,2738125,2794845,2852739,2911383,2970193,3028751,3086887,3144728,3202511,3260611,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761
Peru,PER,"Population, total",SP.POP.TOTL,21826658,22283130,22737056,23184222,23619358,24038761,24441076,24827409,25199744,25561297,25914875,26261363,26601463,26937737,27273188,27610406,27949958,28292768,28642048,29001563,29373644,29759891,30158768
Philippines,PHL,"Population, total",SP.POP.TOTL,61947340,63509940,65078901,66654954,68240134,69835713,71437381,73042605,74656228,76285225,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322
Palau,PLW,"Population, total",SP.POP.TOTL,15089,15471,15894,16345,16805,17255,17695,18123,18524,18878,19174,19404,19575,19700,19805,19907,20012,20118,20227,20344,20470,20606,20756
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,4157903,4261933,4369407,4480689,4596131,4715929,4840311,4969116,5101633,5236863,5374051,5512835,5653284,5795571,5940048,6086905,6236158,6387470,6540267,6693799,6847517,7001172,7154870
Poland,POL,"Population, total",SP.POP.TOTL,38110782,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3537000,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721527,3686771,3642281
"Korea, Dem. Rep. (North)",PRK,"Population, total",SP.POP.TOTL,20194354,20510208,20838082,21166230,21478544,21763670,22016510,22240826,22444986,22641747,22840218,23043441,23248053,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353
Portugal,PRT,"Population, total",SP.POP.TOTL,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844
Paraguay,PRY,"Population, total",SP.POP.TOTL,4213740,4323402,4432738,4541902,4651222,4760853,4870695,4980346,5089306,5196935,5302703,5406625,5508615,5607948,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,1685260,1711895,1741313,1772270,1802890,1831802,1858774,1884253,1908365,1931420,1953719,1975126,1995730,2016337,2038005,2061473,2087081,2114575,2143352,2172519,2201396,2229806,2257903
French Polynesia,PYF,"Population, total",SP.POP.TOTL,198370,202020,205269,208349,211584,215200,219282,223734,228380,232956,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270862,273775
Qatar,QAT,"Population, total",SP.POP.TOTL,476478,485114,489668,492120,495179,501019,511864,528213,548618,570643,593453,613720,634388,668165,732096,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624
Romania,ROU,"Population, total",SP.POP.TOTL,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035
Russian Federation,RUS,"Population, total",SP.POP.TOTL,148292000,148624000,148689000,148520000,148336000,148375726,148160042,147915307,147670692,147214392,146596557,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676
Rwanda,RWA,"Population, total",SP.POP.TOTL,7259740,7071393,6712924,6300358,5995987,5912755,6097688,6506118,7047196,7585143,8021875,8329113,8539029,8686469,8828956,9008230,9231041,9481083,9750314,10024594,10293669,10556429,10817350
South Asia,SAS,"Population, total",SP.POP.TOTL,1132775493,1157716007,1182766320,1208041749,1233462879,1258964893,1284467586,1310020410,1335551944,1361114276,1386400954,1411281514,1436503016,1461682019,1486598228,1511119581,1535264779,1559023139,1582535507,1605893501,1629189137,1652449539,1674883124
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,16361453,16890555,17398523,17890529,18373412,18853670,19331311,19809633,20302193,20825955,21392273,22007937,22668102,23357887,24055573,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047
Sudan,SDN,"Population, total",SP.POP.TOTL,20008804,20861117,21820588,22829227,23805536,24691970,25466387,26149124,26777059,27406808,28079664,28805142,29569978,30365586,31176209,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420
Senegal,SEN,"Population, total",SP.POP.TOTL,7514201,7749559,7990736,8234147,8475136,8710746,8939438,9163184,9386923,9617641,9860578,10118078,10389457,10673320,10967016,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108
Singapore,SGP,"Population, total",SP.POP.TOTL,3047100,3135100,3230700,3313500,3419000,3524500,3670700,3796000,3927200,3958700,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,311849,320764,329984,339490,349250,359236,369438,379859,390489,401319,412336,423535,434893,446352,457841,469306,480716,492075,503410,514767,526177,537648,549162
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,3931208,3945899,3929182,3893891,3858559,3837807,3833053,3843472,3878475,3948800,4060709,4220198,4422154,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157
El Salvador,SLV,"Population, total",SP.POP.TOTL,5252082,5321576,5392142,5461834,5528012,5588743,5643363,5692300,5736075,5775660,5811836,5844738,5874301,5900929,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233
San Marino,SMR,"Population, total",SP.POP.TOTL,24045,24385,24755,25141,25519,25875,26201,26503,26795,27097,27420,27771,28142,28520,28891,29242,29568,29874,30160,30431,30690,30938,31172
Somalia,SOM,"Population, total",SP.POP.TOTL,6321615,6319531,6294017,6269244,6278911,6346440,6480888,6672781,6904231,7148406,7385416,7610053,7827203,8039104,8251054,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630
Serbia,SRB,"Population, total",SP.POP.TOTL,7586000,7595636,7646424,7699307,7734639,7625357,7617794,7596501,7567745,7540401,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077
Sub-Saharan Africa (developing only),SSA,"Population, total",SP.POP.TOTL,508168676,522546737,537283823,552351558,567721234,583369043,599318384,615604157,632281973,649436727,667130071,685165071,703450990,722255635,741707339,761846974,782697340,804259344,826514497,849430616,872981672,897163692,921978391
South Sudan,SSD,"Population, total",SP.POP.TOTL,5762190,5698998,5593347,5484372,5425099,5452771,5584223,5806951,6092688,6398416,6692999,6967817,7233237,7499695,7784488,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623
Sub-Saharan Africa (all income levels),SSF,"Population, total",SP.POP.TOTL,508616039,523007873,537759561,552842678,568228356,583892679,599858645,616161312,632857149,650030484,667742098,685795280,704102354,722925207,742396040,762555740,783427658,805010175,827287676,850225069,873800152,898002051,922840423
Small states,SST,"Population, total",SP.POP.TOTL,20898143,21296936,21691663,22078888,22463924,22839638,23222474,23597400,23965282,24327352,24680538,25032349,25378214,25722695,26070475,26416028,26777784,27153515,27545313,27949299,28368601,28831361,29285805
Sao Tome & Principe,STP,"Population, total",SP.POP.TOTL,113575,115900,118346,120849,123318,125694,127946,130110,132284,134602,137164,140003,143085,146357,149732,153146,156584,160064,163595,167196,170880,174646,178484
Suriname,SUR,"Population, total",SP.POP.TOTL,408276,416068,423572,430901,438280,445830,453653,461569,469108,475637,480751,484210,486271,487641,489312,491999,495953,500953,506657,512522,518141,523439,528535
Slovakia,SVK,"Population, total",SP.POP.TOTL,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579
Slovenia,SVN,"Population, total",SP.POP.TOTL,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159
Sweden,SWE,"Population, total",SP.POP.TOTL,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374
Swaziland,SWZ,"Population, total",SP.POP.TOTL,862728,887248,907947,926224,944223,963428,984506,1006760,1028694,1048151,1063715,1074765,1082195,1087949,1094775,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694
Seychelles,SYC,"Population, total",SP.POP.TOTL,70000,70755,71657,72711,73925,75304,76417,77319,78846,80410,81131,81202,83700,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303
Syria,SYR,"Population, total",SP.POP.TOTL,12451539,12817578,13186187,13559642,13941025,14331962,14736209,15151962,15568797,15972430,16354050,16694414,16997521,17304339,17671913,18132842,18728200,19425597,20097057,20566871,20720602,21070917,21427155
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,11550,12205,12970,13793,14597,15334,15967,16527,17114,17866,18876,20186,21740,23412,25025,26450,27642,28638,29481,30247,30993,31727,32430
Chad,TCD,"Population, total",SP.POP.TOTL,5958022,6151213,6350174,6556628,6773104,7001634,7242018,7494143,7760157,8042713,8343321,8663599,9002102,9353516,9710498,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465
Togo,TGO,"Population, total",SP.POP.TOTL,3786942,3886858,3984356,4081398,4180689,4284286,4392941,4506465,4624826,4747665,4874735,5006223,5142419,5283246,5428552,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581
Thailand,THA,"Population, total",SP.POP.TOTL,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130
Tajikistan,TJK,"Population, total",SP.POP.TOTL,5297286,5417554,5523207,5616797,5702611,5784330,5862224,5936780,6012308,6094126,6186152,6290413,6406518,6532871,6666628,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551762,4600172,4648036,4696876,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,740231,764884,792846,820471,842752,856439,859496,853867,845106,841063,847185,865848,894837,929431,962634,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958
Tonga,TON,"Population, total",SP.POP.TOTL,95152,95304,95421,95532,95678,95889,96174,96526,96937,97398,97898,98434,99005,99606,100226,100858,101507,102169,102816,103416,103947,104392,104769
Trinidad & Tobago,TTO,"Population, total",SP.POP.TOTL,1221904,1229906,1237486,1244410,1250316,1255001,1258365,1260677,1262544,1264781,1267980,1272383,1277840,1284052,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579
Tunisia,TUN,"Population, total",SP.POP.TOTL,8154400,8318200,8489900,8572200,8785700,8957500,9089300,9214900,9333300,9455900,9552500,9650600,9748900,9839800,9932400,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500
Turkey,TUR,"Population, total",SP.POP.TOTL,53994605,54909508,55811134,56707454,57608769,58522320,59451488,60394104,61344874,62295617,63240157,64182694,65125766,66060121,66973561,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9004,9056,9103,9148,9188,9227,9264,9298,9334,9374,9419,9471,9530,9590,9646,9694,9732,9764,9788,9808,9827,9844,9860
Tanzania,TZA,"Population, total",SP.POP.TOTL,25458208,26307482,27203865,28122799,29030288,29903329,30733937,31533781,32323953,33135281,33991590,34899062,35855480,36866228,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709
Uganda,UGA,"Population, total",SP.POP.TOTL,17384369,17973428,18571527,19177660,19791266,20412967,21041468,21679497,22336812,23026357,23757636,24534668,25355794,26217760,27114742,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620
Ukraine,UKR,"Population, total",SP.POP.TOTL,51892000,52000470,52150266,52179210,51921041,51512299,51057189,50594105,50143939,49673350,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300
Upper middle income,UMC,"Population, total",SP.POP.TOTL,1856995358,1884860868,1910669787,1935543798,1960358316,1984728116,2009175300,2033653597,2057591940,2080601953,2102666067,2123243831,2142706202,2161778349,2180487662,2199069013,2217180760,2234445988,2251826545,2269734863,2287678699,2305545434,2323722012
Uruguay,URY,"Population, total",SP.POP.TOTL,3109987,3132048,3154853,3178156,3201604,3224807,3248039,3271014,3292134,3309318,3321242,3327105,3327770,3325637,3324096,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753
United States,USA,"Population, total",SP.POP.TOTL,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500
Saint Vincent & Grenadines,VCT,"Population, total",SP.POP.TOTL,107509,107811,108001,108097,108129,108122,108078,108001,107923,107879,107897,107989,108150,108354,108563,108749,108908,109049,109165,109255,109316,109341,109334
Venezuela,VEN,"Population, total",SP.POP.TOTL,19861959,20332247,20799471,21263994,21726808,22188671,22649212,23108003,23565734,24023355,24481477,24940223,25399143,25857553,26314483,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238
